distance	signal
0.0000	1.0408
1.0000	1.0444
2.0000	1.0416
3.0000	1.0389
4.0000	1.0425
5.0000	1.0375
6.0000	0.9372
7.0000	1.0435
8.0000	1.0440
9.0000	1.0438
10.0000	1.0458
11.0000	1.0445
12.0000	1.0448
13.0000	1.0420
14.0000	1.0469
15.0000	1.0458
16.0000	0.9369
17.0000	1.0436
18.0000	1.0477
19.0000	1.0457
20.0000	1.0444
21.0000	1.0441
22.0000	1.0440
23.0000	0.9387
24.0000	1.0450
25.0000	1.0458
26.0000	1.0430
27.0000	1.0454
28.0000	1.0462
29.0000	0.9390
30.0000	1.0429
31.0000	1.0416
32.0000	0.9436
33.0000	1.0437
34.0000	1.0461
35.0000	1.0454
36.0000	1.0446
37.0000	1.0412
38.0000	1.0460
39.0000	1.0474
40.0000	1.0443
41.0000	0.9393
42.0000	1.0417
43.0000	1.0416
44.0000	1.0467
45.0000	1.0427
46.0000	0.9399
47.0000	0.9428
48.0000	1.0428
49.0000	1.0437
50.0000	0.9365
51.0000	1.0404
52.0000	1.0402
53.0000	1.0419
54.0000	1.0457
55.0000	0.9406
56.0000	0.9408
57.0000	1.0438
58.0000	1.0423
59.0000	1.0392
60.0000	0.9425
61.0000	1.0408
62.0000	1.0492
63.0000	1.0424
64.0000	1.0449
65.0000	1.0440
66.0000	1.0421
67.0000	1.0448
68.0000	1.0432
69.0000	1.0466
70.0000	1.0437
71.0000	0.9403
72.0000	0.9406
73.0000	1.0429
74.0000	1.0412
75.0000	1.0437
76.0000	1.0492
77.0000	1.0425
78.0000	0.9393
79.0000	1.0445
80.0000	1.0465
81.0000	1.0420
82.0000	0.9379
83.0000	1.0443
84.0000	1.0494
85.0000	1.0457
86.0000	1.0423
87.0000	1.0433
88.0000	1.0431
89.0000	1.0424
90.0000	1.0432
91.0000	1.0465
92.0000	0.9410
93.0000	1.0447
94.0000	1.0404
