Time - Plot 0	Amplitude - Plot 0	
0	0.0156571	
1	0.0156571	
2	0.0156571	
3	0.0156571	
4	0.0156571	
5	0.0156571	
6	0.0156571	
7	0.0156571	
8	0.0156571	
9	0.0156571	
10	0.0169837	
11	0.0169837	
12	0.0169837	
13	0.0169837	
14	0.0169837	
15	0.0169837	
16	0.0169837	
17	0.0169837	
18	0.0169837	
19	0.0169837	
20	0.0180155	
21	0.0180155	
22	0.0180155	
23	0.0180155	
24	0.0180155	
25	0.0180155	
26	0.0180155	
27	0.0180155	
28	0.0180155	
29	0.0180155	
30	0.0132228	
31	0.0132228	
32	0.0132228	
33	0.0132228	
34	0.0132228	
35	0.0132228	
36	0.0132228	
37	0.0132228	
38	0.0132228	
39	0.0132228	
40	0.0156571	
41	0.0156571	
42	0.0156571	
43	0.0156571	
44	0.0156571	
45	0.0156571	
46	0.0156571	
47	0.0156571	
48	0.0156571	
49	0.0156571	
50	0.021907	
51	0.021907	
52	0.021907	
53	0.021907	
54	0.021907	
55	0.021907	
56	0.021907	
57	0.021907	
58	0.021907	
59	0.021907	
60	0.0203121	
61	0.0203121	
62	0.0203121	
63	0.0203121	
64	0.0203121	
65	0.0203121	
66	0.0203121	
67	0.0203121	
68	0.0203121	
69	0.0203121	
70	0.0156039	
71	0.0156039	
72	0.0156039	
73	0.0156039	
74	0.0156039	
75	0.0156039	
76	0.0156039	
77	0.0156039	
78	0.0156039	
79	0.0156039	
