Time - Plot 0	Amplitude - Plot 0	
0	2.78273	
1	2.78273	
2	2.78273	
3	2.78273	
4	2.78273	
5	2.78273	
6	2.78273	
7	2.78273	
8	2.78273	
9	2.78273	
10	2.77771	
11	2.77771	
12	2.77771	
13	2.77771	
14	2.77771	
15	2.77771	
16	2.77771	
17	2.77771	
18	2.77771	
19	2.77771	
20	2.7785	
21	2.7785	
22	2.7785	
23	2.7785	
24	2.7785	
25	2.7785	
26	2.7785	
27	2.7785	
28	2.7785	
29	2.7785	
30	2.68968	
31	2.68968	
32	2.68968	
33	2.68968	
34	2.68968	
35	2.68968	
36	2.68968	
37	2.68968	
38	2.68968	
39	2.68968	
40	2.78273	
41	2.78273	
42	2.78273	
43	2.78273	
44	2.78273	
45	2.78273	
46	2.78273	
47	2.78273	
48	2.78273	
49	2.78273	
50	2.80079	
51	2.80079	
52	2.80079	
53	2.80079	
54	2.80079	
55	2.80079	
56	2.80079	
57	2.80079	
58	2.80079	
59	2.80079	
60	2.81448	
61	2.81448	
62	2.81448	
63	2.81448	
64	2.81448	
65	2.81448	
66	2.81448	
67	2.81448	
68	2.81448	
69	2.81448	
70	3.02457	
71	3.02457	
72	3.02457	
73	3.02457	
74	3.02457	
75	3.02457	
76	3.02457	
77	3.02457	
78	3.02457	
79	3.02457	
