distance	signal	standard deviation	error (%)
0.0000	2.7110	0.0138	0.5104
1.0000	2.7033	0.0138	0.5105
2.0000	2.7132	0.0194	0.7148
3.0000	2.6971	0.0243	0.9010
4.0000	2.6979	0.0178	0.6587
5.0000	2.7027	0.0139	0.5161
6.0000	2.7113	0.0105	0.3886
7.0000	2.7024	0.0131	0.4844
8.0000	2.7032	0.0323	1.1932
9.0000	2.7155	0.0160	0.5903
10.0000	2.7158	0.0204	0.7522
11.0000	2.6986	0.0185	0.6850
12.0000	2.7142	0.0187	0.6894
13.0000	2.6973	0.0113	0.4196
14.0000	2.7055	0.0217	0.8032
15.0000	2.6994	0.0131	0.4868
16.0000	2.6965	0.0178	0.6591
17.0000	2.7093	0.0206	0.7615
18.0000	2.7082	0.0165	0.6106
19.0000	2.7091	0.0150	0.5532
20.0000	2.6991	0.0276	1.0229
21.0000	2.7145	0.0233	0.8567
22.0000	2.7104	0.0193	0.7134
23.0000	2.7023	0.0097	0.3590
24.0000	2.7176	0.0106	0.3917
25.0000	2.7132	0.0129	0.4758
26.0000	2.7095	0.0287	1.0610
27.0000	2.7113	0.0179	0.6593
28.0000	2.7039	0.0152	0.5609
29.0000	2.7178	0.0114	0.4205
30.0000	2.7114	0.0197	0.7263
31.0000	2.7132	0.0169	0.6223
32.0000	2.6972	0.0159	0.5897
33.0000	2.7042	0.0319	1.1788
34.0000	2.7093	0.0235	0.8672
35.0000	2.7078	0.0108	0.3998
36.0000	2.6980	0.0144	0.5324
37.0000	2.7105	0.0168	0.6186
38.0000	2.7117	0.0217	0.8005
39.0000	2.7021	0.0160	0.5936
40.0000	2.7106	0.0138	0.5096
41.0000	2.7138	0.0152	0.5591
42.0000	2.7116	0.0102	0.3762
43.0000	2.7113	0.0169	0.6241
44.0000	2.7020	0.0106	0.3924
45.0000	2.7074	0.0177	0.6543
46.0000	2.7163	0.0174	0.6399
47.0000	2.7031	0.0157	0.5816
48.0000	2.7032	0.0130	0.4817
49.0000	2.7028	0.0178	0.6592
50.0000	2.7127	0.0201	0.7406
51.0000	2.7119	0.0173	0.6368
52.0000	2.7107	0.0180	0.6644
53.0000	2.7090	0.0142	0.5238
54.0000	2.7015	0.0189	0.7014
55.0000	2.7081	0.0180	0.6631
56.0000	2.7107	0.0136	0.5001
57.0000	2.7139	0.0269	0.9894
58.0000	2.7072	0.0157	0.5787
59.0000	2.7097	0.0208	0.7667
60.0000	2.7010	0.0157	0.5804
61.0000	2.6989	0.0265	0.9832
62.0000	2.7084	0.0133	0.4895
63.0000	2.7021	0.0164	0.6068
64.0000	2.6965	0.0174	0.6442
65.0000	2.7133	0.0230	0.8465
66.0000	2.7066	0.0191	0.7069
67.0000	2.7055	0.0227	0.8394
68.0000	2.7070	0.0188	0.6942
69.0000	2.7092	0.0183	0.6771
70.0000	2.7157	0.0177	0.6528
71.0000	2.7033	0.0207	0.7656
72.0000	2.6980	0.0192	0.7121
73.0000	2.7121	0.0224	0.8257
74.0000	2.7164	0.0170	0.6255
75.0000	2.7071	0.0132	0.4859
76.0000	2.7061	0.0169	0.6247
77.0000	2.7091	0.0150	0.5545
78.0000	2.7116	0.0228	0.8423
79.0000	2.6994	0.0165	0.6115
80.0000	2.7120	0.0186	0.6874
81.0000	2.7067	0.0138	0.5106
82.0000	2.7061	0.0158	0.5851
83.0000	2.7003	0.0206	0.7621
84.0000	2.7086	0.0181	0.6671
85.0000	2.7188	0.0193	0.7108
86.0000	2.7055	0.0154	0.5698
87.0000	2.7000	0.0225	0.8328
88.0000	2.7000	0.0214	0.7937
89.0000	2.6982	0.0135	0.4986
90.0000	2.7073	0.0211	0.7779
91.0000	2.6970	0.0142	0.5251
92.0000	2.7025	0.0209	0.7749
93.0000	2.7083	0.0202	0.7470
94.0000	2.7072	0.0214	0.7899
95.0000	2.7080	0.0248	0.9164
96.0000	2.6956	0.0169	0.6271
97.0000	2.6960	0.0187	0.6946
98.0000	2.6998	0.0220	0.8143
99.0000	2.7119	0.0113	0.4178
