distance	signal	standard deviation	error (%)
0.0000	0.9179	0.1875	20.4322
1.0000	0.9440	0.1271	13.4678
2.0000	1.0267	0.3350	32.6302
3.0000	1.0098	0.2866	28.3801
4.0000	0.9980	0.1502	15.0529
5.0000	1.0274	0.2184	21.2556
6.0000	1.0423	0.2708	25.9818
7.0000	1.0379	0.1670	16.0911
8.0000	0.9631	0.2779	28.8584
9.0000	1.1378	0.2507	22.0370
10.0000	1.0645	0.2771	26.0330
11.0000	0.9859	0.2757	27.9679
12.0000	1.1267	0.4354	38.6439
13.0000	1.0176	0.1640	16.1211
14.0000	1.1041	0.1744	15.7984
15.0000	1.1573	0.4055	35.0400
16.0000	1.0317	0.2768	26.8309
17.0000	1.0661	0.3133	29.3902
18.0000	0.9387	0.1622	17.2840
19.0000	1.0263	0.2935	28.5961
20.0000	1.1520	0.2070	17.9689
21.0000	1.0726	0.3097	28.8716
22.0000	1.0626	0.2886	27.1592
23.0000	1.1004	0.2709	24.6157
24.0000	1.1279	0.2590	22.9615
25.0000	1.0152	0.2705	26.6441
26.0000	1.0182	0.2113	20.7483
27.0000	1.0468	0.1121	10.7125
28.0000	1.0380	0.1724	16.6097
29.0000	1.1564	0.2558	22.1161
30.0000	0.9034	0.2181	24.1465
31.0000	1.1073	0.2612	23.5856
32.0000	1.0417	0.3260	31.2925
33.0000	0.9268	0.2056	22.1806
34.0000	1.0624	0.1389	13.0717
35.0000	1.0430	0.1985	19.0271
36.0000	1.0291	0.2372	23.0504
37.0000	1.1209	0.1883	16.7963
38.0000	1.1920	0.4777	40.0747
39.0000	0.9903	0.2565	25.8985
40.0000	1.0496	0.2560	24.3905
41.0000	1.1442	0.2656	23.2161
42.0000	0.9574	0.2459	25.6854
43.0000	1.0290	0.2136	20.7543
44.0000	1.0992	0.3331	30.3072
45.0000	1.0746	0.2774	25.8115
46.0000	0.9640	0.2465	25.5745
47.0000	1.1780	0.2973	25.2338
48.0000	0.9573	0.2561	26.7529
49.0000	1.1346	0.3421	30.1495
