distance	signal
0.0000	1.0560
1.0000	1.0588
2.0000	0.9504
3.0000	1.0568
4.0000	1.0595
5.0000	1.0580
6.0000	1.0549
7.0000	1.0585
8.0000	1.0570
9.0000	1.0580
10.0000	1.0603
11.0000	1.0566
12.0000	1.0594
13.0000	0.9515
14.0000	1.0582
15.0000	1.0578
16.0000	1.0572
17.0000	1.0579
18.0000	1.0549
19.0000	1.0592
20.0000	1.0564
21.0000	0.9522
22.0000	0.9507
23.0000	0.9509
24.0000	1.0595
25.0000	1.0567
26.0000	1.0599
27.0000	1.0566
28.0000	1.0598
29.0000	1.0582
30.0000	1.0561
31.0000	1.0567
32.0000	1.0591
33.0000	1.0575
34.0000	1.0549
35.0000	0.9526
36.0000	1.0591
37.0000	1.0572
38.0000	1.0572
39.0000	1.0567
40.0000	1.0561
41.0000	1.0574
42.0000	0.9525
43.0000	0.9517
44.0000	1.0590
45.0000	1.0586
46.0000	1.0576
47.0000	0.9519
48.0000	1.0562
49.0000	1.0581
50.0000	1.0572
51.0000	1.0560
52.0000	1.0601
53.0000	0.9524
54.0000	1.0577
55.0000	1.0587
56.0000	1.0561
57.0000	1.0585
58.0000	1.0561
59.0000	1.0557
60.0000	1.0589
61.0000	1.0582
62.0000	0.9541
63.0000	1.0561
64.0000	1.0585
65.0000	1.0581
66.0000	1.0611
67.0000	1.0551
68.0000	0.9517
69.0000	1.0576
70.0000	1.0569
71.0000	1.0571
72.0000	1.0570
73.0000	0.9534
74.0000	1.0585
75.0000	1.0594
76.0000	1.0580
77.0000	0.9521
78.0000	0.9530
79.0000	1.0592
80.0000	1.0555
81.0000	1.0581
82.0000	1.0573
83.0000	1.0578
84.0000	1.0609
85.0000	1.0584
86.0000	1.0570
87.0000	1.0598
88.0000	1.0598
89.0000	1.0577
90.0000	1.0566
91.0000	0.9514
92.0000	1.0599
93.0000	1.0599
94.0000	1.0577
