distance	signal	standard deviation	error (%)
0.0000	1.1346	0.0050	0.4371
1.0000	1.1428	0.0062	0.5435
2.0000	1.1393	0.0031	0.2730
3.0000	1.1365	0.0046	0.4064
4.0000	1.1369	0.0075	0.6586
5.0000	1.1352	0.0039	0.3397
6.0000	1.1358	0.0035	0.3056
7.0000	1.1376	0.0031	0.2729
8.0000	1.1392	0.0062	0.5412
9.0000	1.1362	0.0034	0.2990
10.0000	1.1358	0.0034	0.2987
11.0000	1.1371	0.0057	0.5026
12.0000	1.1361	0.0046	0.4065
13.0000	1.1414	0.0033	0.2883
14.0000	1.1390	0.0065	0.5699
15.0000	1.1367	0.0040	0.3561
16.0000	1.1346	0.0063	0.5592
17.0000	1.1364	0.0041	0.3571
18.0000	1.1334	0.0034	0.2975
19.0000	1.1303	0.0055	0.4905
20.0000	1.1358	0.0038	0.3378
21.0000	1.1354	0.0062	0.5456
22.0000	1.1362	0.0074	0.6551
23.0000	1.1369	0.0051	0.4500
24.0000	1.1361	0.0039	0.3416
25.0000	1.1368	0.0040	0.3498
26.0000	1.1395	0.0079	0.6976
27.0000	1.1381	0.0032	0.2848
28.0000	1.1398	0.0062	0.5421
29.0000	1.1395	0.0058	0.5048
30.0000	1.1311	0.0038	0.3339
31.0000	1.1424	0.0044	0.3878
32.0000	1.1346	0.0066	0.5832
33.0000	1.1300	0.0053	0.4651
34.0000	1.1333	0.0048	0.4232
35.0000	1.1394	0.0061	0.5324
36.0000	1.1335	0.0041	0.3652
37.0000	1.1381	0.0036	0.3146
38.0000	1.1320	0.0061	0.5364
39.0000	1.1402	0.0036	0.3142
40.0000	1.1427	0.0046	0.4010
41.0000	1.1386	0.0040	0.3502
42.0000	1.1355	0.0059	0.5171
43.0000	1.1378	0.0037	0.3244
44.0000	1.1399	0.0038	0.3290
45.0000	1.1363	0.0057	0.4978
46.0000	1.1386	0.0056	0.4917
47.0000	1.1315	0.0034	0.3019
48.0000	1.1351	0.0053	0.4626
49.0000	1.1380	0.0064	0.5642
