distance	signal	standard deviation	error (%)
0.0000	2.8435	0.0143	0.5026
1.0000	2.8417	0.0181	0.6366
2.0000	2.8318	0.0185	0.6546
3.0000	2.8302	0.0242	0.8554
4.0000	2.8329	0.0194	0.6846
5.0000	2.8272	0.0186	0.6578
6.0000	2.8268	0.0113	0.3981
7.0000	2.8205	0.0172	0.6107
8.0000	2.8336	0.0191	0.6728
9.0000	2.8454	0.0212	0.7437
10.0000	2.8328	0.0238	0.8393
11.0000	2.8460	0.0248	0.8720
12.0000	2.8225	0.0194	0.6871
13.0000	2.8291	0.0222	0.7840
14.0000	2.8273	0.0225	0.7941
15.0000	2.8270	0.0271	0.9576
16.0000	2.8289	0.0328	1.1604
17.0000	2.8261	0.0163	0.5775
18.0000	2.8299	0.0164	0.5787
19.0000	2.8284	0.0191	0.6753
20.0000	2.8378	0.0350	1.2341
21.0000	2.8333	0.0327	1.1531
22.0000	2.8225	0.0171	0.6064
23.0000	2.8297	0.0200	0.7074
24.0000	2.8231	0.0237	0.8389
25.0000	2.8312	0.0301	1.0647
26.0000	2.8354	0.0219	0.7715
27.0000	2.8303	0.0208	0.7351
28.0000	2.8237	0.0273	0.9685
29.0000	2.8195	0.0282	0.9990
30.0000	2.8308	0.0202	0.7126
31.0000	2.8498	0.0286	1.0046
32.0000	2.8306	0.0236	0.8348
33.0000	2.8265	0.0159	0.5641
34.0000	2.8342	0.0144	0.5074
35.0000	2.8300	0.0157	0.5536
36.0000	2.8193	0.0183	0.6478
37.0000	2.8241	0.0196	0.6955
38.0000	2.8252	0.0212	0.7519
39.0000	2.8273	0.0118	0.4184
40.0000	2.8404	0.0163	0.5731
41.0000	2.8364	0.0192	0.6756
42.0000	2.8473	0.0195	0.6866
43.0000	2.8295	0.0222	0.7842
44.0000	2.8278	0.0256	0.9065
45.0000	2.8281	0.0247	0.8733
46.0000	2.8360	0.0218	0.7700
47.0000	2.8321	0.0113	0.3991
48.0000	2.8316	0.0151	0.5349
49.0000	2.8321	0.0408	1.4395
