distance	signal	standard deviation	error (%)
0.0000	4.8207	0.0259	0.5380
1.0000	4.8238	0.0427	0.8860
2.0000	4.8223	0.0291	0.6034
3.0000	4.8000	0.0350	0.7292
4.0000	4.8302	0.0494	1.0228
5.0000	4.8170	0.0493	1.0235
6.0000	4.8050	0.0340	0.7080
7.0000	4.8046	0.0271	0.5637
8.0000	4.8264	0.0408	0.8458
9.0000	4.8138	0.0332	0.6900
10.0000	4.8311	0.0262	0.5420
11.0000	4.8118	0.0321	0.6680
12.0000	4.8180	0.0565	1.1725
13.0000	4.8125	0.0381	0.7927
14.0000	4.8177	0.0369	0.7660
15.0000	4.8037	0.0405	0.8436
16.0000	4.8102	0.0307	0.6393
17.0000	4.8082	0.0444	0.9229
18.0000	4.8120	0.0411	0.8546
19.0000	4.8398	0.0284	0.5875
20.0000	4.8332	0.0484	1.0017
21.0000	4.8404	0.0433	0.8950
22.0000	4.8117	0.0528	1.0971
23.0000	4.8004	0.0427	0.8891
24.0000	4.8129	0.0348	0.7226
25.0000	4.8139	0.0404	0.8393
26.0000	4.8046	0.0294	0.6125
27.0000	4.8216	0.0389	0.8065
28.0000	4.8013	0.0332	0.6911
29.0000	4.8137	0.0395	0.8215
30.0000	4.8265	0.0233	0.4821
31.0000	4.7982	0.0353	0.7348
32.0000	4.8259	0.0341	0.7066
33.0000	4.8259	0.0434	0.8986
34.0000	4.7941	0.0480	1.0011
35.0000	4.8265	0.0408	0.8449
36.0000	4.7940	0.0258	0.5385
37.0000	4.8288	0.0327	0.6773
38.0000	4.8125	0.0197	0.4099
39.0000	4.8100	0.0527	1.0960
40.0000	4.8185	0.0319	0.6617
41.0000	4.8168	0.0421	0.8740
42.0000	4.8156	0.0540	1.1204
43.0000	4.8213	0.0504	1.0460
44.0000	4.8354	0.0264	0.5455
45.0000	4.8043	0.0376	0.7830
46.0000	4.8206	0.0292	0.6050
47.0000	4.8349	0.0338	0.6996
48.0000	4.8221	0.0488	1.0116
49.0000	4.8240	0.0524	1.0865
50.0000	4.7993	0.0478	0.9955
51.0000	4.8182	0.0438	0.9092
52.0000	4.8337	0.0248	0.5131
53.0000	4.8176	0.0239	0.4955
54.0000	4.8108	0.0357	0.7414
55.0000	4.8295	0.0423	0.8765
56.0000	4.8169	0.0249	0.5167
57.0000	4.8377	0.0300	0.6203
58.0000	4.8368	0.0463	0.9571
59.0000	4.8087	0.0304	0.6327
60.0000	4.8226	0.0290	0.6012
61.0000	4.8217	0.0390	0.8098
62.0000	4.8338	0.0405	0.8381
63.0000	4.7901	0.0426	0.8888
64.0000	4.8292	0.0404	0.8358
65.0000	4.8137	0.0282	0.5859
66.0000	4.8003	0.0324	0.6740
67.0000	4.8105	0.0345	0.7182
68.0000	4.8193	0.0305	0.6323
69.0000	4.8379	0.0390	0.8065
70.0000	4.8277	0.0359	0.7426
71.0000	4.8233	0.0455	0.9440
72.0000	4.8077	0.0524	1.0899
73.0000	4.7984	0.0376	0.7834
74.0000	4.8004	0.0211	0.4398
75.0000	4.8058	0.0263	0.5482
76.0000	4.8132	0.0388	0.8051
77.0000	4.7970	0.0398	0.8304
78.0000	4.7890	0.0354	0.7382
79.0000	4.8227	0.0345	0.7154
80.0000	4.8123	0.0258	0.5353
81.0000	4.8145	0.0266	0.5521
82.0000	4.8369	0.0248	0.5134
83.0000	4.8227	0.0356	0.7377
84.0000	4.8196	0.0324	0.6730
85.0000	4.8054	0.0396	0.8247
86.0000	4.8024	0.0382	0.7948
87.0000	4.8185	0.0520	1.0790
88.0000	4.8309	0.0665	1.3767
89.0000	4.8179	0.0372	0.7722
90.0000	4.7869	0.0290	0.6060
91.0000	4.8155	0.0552	1.1454
92.0000	4.8466	0.0350	0.7217
93.0000	4.8087	0.0221	0.4589
94.0000	4.8166	0.0295	0.6128
95.0000	4.7962	0.0376	0.7838
96.0000	4.8130	0.0288	0.5988
97.0000	4.8278	0.0444	0.9193
98.0000	4.8081	0.0427	0.8874
99.0000	4.8337	0.0423	0.8748
