distance	signal
0.0000	2.7313
1.0000	2.7240
2.0000	2.7261
3.0000	2.7325
4.0000	2.7319
5.0000	2.7403
6.0000	2.7349
7.0000	2.7370
8.0000	2.7366
9.0000	2.7309
10.0000	2.7312
11.0000	2.7308
12.0000	2.7314
13.0000	2.7383
14.0000	2.7324
15.0000	2.7316
16.0000	2.7358
17.0000	2.7274
18.0000	2.7335
19.0000	2.7317
20.0000	2.7283
21.0000	2.7310
22.0000	2.7205
23.0000	2.7211
24.0000	2.7372
25.0000	2.7447
26.0000	2.7174
27.0000	2.7271
28.0000	2.7323
29.0000	2.7279
30.0000	2.7327
31.0000	2.7316
32.0000	2.7355
33.0000	2.7326
34.0000	2.7316
35.0000	2.7271
36.0000	2.7286
37.0000	2.7162
38.0000	2.7322
39.0000	2.7300
40.0000	2.7452
41.0000	2.7278
42.0000	2.7114
43.0000	2.7207
44.0000	2.7321
45.0000	2.7295
46.0000	2.7343
47.0000	2.7317
48.0000	2.7271
49.0000	2.7335
50.0000	2.7333
51.0000	2.7354
52.0000	2.7363
53.0000	2.7415
54.0000	2.7264
55.0000	2.7295
56.0000	2.7131
57.0000	2.7295
58.0000	2.7256
59.0000	2.7231
60.0000	2.7331
61.0000	2.7406
62.0000	2.7309
63.0000	2.7253
64.0000	2.7402
65.0000	2.7414
66.0000	2.7234
67.0000	2.7274
68.0000	2.7423
69.0000	2.7294
70.0000	2.7252
71.0000	2.7422
72.0000	2.7310
73.0000	2.7323
74.0000	2.7320
75.0000	2.7286
76.0000	2.7313
77.0000	2.7273
78.0000	2.7258
79.0000	2.7273
80.0000	2.7389
81.0000	2.7263
82.0000	2.7276
83.0000	2.7282
84.0000	2.7169
85.0000	2.7321
86.0000	2.7408
87.0000	2.7223
88.0000	2.7287
89.0000	2.7240
90.0000	2.7304
91.0000	2.7312
92.0000	2.7292
93.0000	2.7255
94.0000	2.7316
95.0000	2.7313
96.0000	2.7380
97.0000	2.7252
98.0000	2.7284
99.0000	2.7254
