distance	signal	standard deviation	error (%)
0.0000	2.7415	0.0226	0.8237
1.0000	2.7402	0.0173	0.6323
2.0000	2.7306	0.0194	0.7088
3.0000	2.7399	0.0214	0.7822
4.0000	2.7399	0.0149	0.5455
5.0000	2.7428	0.0169	0.6152
6.0000	2.7374	0.0182	0.6653
7.0000	2.7395	0.0238	0.8672
8.0000	2.7432	0.0172	0.6272
9.0000	2.7349	0.0194	0.7104
10.0000	2.7413	0.0198	0.7205
11.0000	2.7407	0.0207	0.7552
12.0000	2.7401	0.0168	0.6136
13.0000	2.7415	0.0167	0.6097
14.0000	2.7353	0.0156	0.5699
15.0000	2.7413	0.0201	0.7345
16.0000	2.7416	0.0161	0.5874
17.0000	2.7425	0.0185	0.6762
18.0000	2.7408	0.0200	0.7294
19.0000	2.7380	0.0184	0.6715
20.0000	2.7398	0.0197	0.7173
21.0000	2.7424	0.0140	0.5095
22.0000	2.7428	0.0215	0.7839
23.0000	2.7419	0.0239	0.8725
24.0000	2.7432	0.0182	0.6638
25.0000	2.7380	0.0216	0.7886
26.0000	2.7414	0.0193	0.7056
27.0000	2.7385	0.0193	0.7053
28.0000	2.7410	0.0176	0.6420
29.0000	2.7395	0.0164	0.5999
30.0000	2.7444	0.0149	0.5412
31.0000	2.7372	0.0198	0.7237
32.0000	2.7353	0.0172	0.6288
33.0000	2.7414	0.0190	0.6939
34.0000	2.7382	0.0172	0.6275
35.0000	2.7428	0.0188	0.6853
36.0000	2.7428	0.0201	0.7340
37.0000	2.7412	0.0189	0.6884
38.0000	2.7387	0.0202	0.7371
39.0000	2.7401	0.0199	0.7258
40.0000	2.7381	0.0189	0.6892
41.0000	2.7435	0.0162	0.5922
42.0000	2.7415	0.0229	0.8357
43.0000	2.7410	0.0196	0.7156
44.0000	2.7369	0.0215	0.7873
45.0000	2.7397	0.0197	0.7173
46.0000	2.7402	0.0208	0.7575
47.0000	2.7378	0.0157	0.5751
48.0000	2.7426	0.0187	0.6811
49.0000	2.7416	0.0178	0.6506
