distance	signal	standard deviation	error (%)
0.0000	0.9986	0.0057	0.5682
1.0000	1.0018	0.0053	0.5298
2.0000	1.0007	0.0062	0.6155
3.0000	0.9998	0.0066	0.6581
4.0000	1.0004	0.0049	0.4938
5.0000	1.0005	0.0070	0.7030
6.0000	1.0009	0.0045	0.4533
7.0000	1.0001	0.0064	0.6350
8.0000	1.0006	0.0056	0.5643
9.0000	0.9988	0.0077	0.7748
10.0000	1.0044	0.0048	0.4760
11.0000	1.0022	0.0078	0.7764
12.0000	1.0010	0.0053	0.5255
13.0000	1.0011	0.0056	0.5631
14.0000	1.0010	0.0048	0.4830
15.0000	1.0013	0.0051	0.5046
16.0000	1.0017	0.0056	0.5635
17.0000	1.0042	0.0074	0.7359
18.0000	0.9980	0.0056	0.5603
19.0000	1.0000	0.0068	0.6760
20.0000	1.0037	0.0057	0.5660
21.0000	0.9986	0.0058	0.5832
22.0000	0.9999	0.0053	0.5291
23.0000	1.0008	0.0053	0.5253
24.0000	0.9997	0.0055	0.5506
25.0000	0.9998	0.0044	0.4380
26.0000	0.9986	0.0057	0.5717
27.0000	1.0001	0.0070	0.7040
28.0000	1.0010	0.0066	0.6614
29.0000	0.9989	0.0042	0.4191
30.0000	1.0019	0.0059	0.5869
31.0000	1.0009	0.0047	0.4707
32.0000	1.0001	0.0064	0.6386
33.0000	1.0025	0.0059	0.5915
34.0000	0.9988	0.0047	0.4728
35.0000	0.9991	0.0062	0.6190
36.0000	1.0024	0.0063	0.6272
37.0000	1.0006	0.0033	0.3260
38.0000	1.0006	0.0060	0.6000
39.0000	0.9996	0.0047	0.4674
40.0000	1.0011	0.0057	0.5653
41.0000	1.0015	0.0056	0.5628
42.0000	0.9999	0.0052	0.5231
43.0000	1.0007	0.0054	0.5427
44.0000	1.0007	0.0074	0.7367
45.0000	1.0020	0.0051	0.5136
46.0000	1.0016	0.0041	0.4086
47.0000	1.0005	0.0056	0.5628
48.0000	1.0013	0.0061	0.6047
49.0000	1.0012	0.0049	0.4918
