distance	signal	standard deviation	error (%)
0.0000	2.7242	0.0096	0.3537
1.0000	2.7232	0.0073	0.2683
2.0000	2.7184	0.0108	0.3977
3.0000	2.7192	0.0085	0.3131
4.0000	2.7248	0.0082	0.3005
5.0000	2.7238	0.0078	0.2880
6.0000	2.7220	0.0092	0.3372
7.0000	2.7219	0.0105	0.3865
8.0000	2.7216	0.0091	0.3358
9.0000	2.7223	0.0056	0.2049
10.0000	2.7264	0.0058	0.2117
11.0000	2.7209	0.0116	0.4264
12.0000	2.7240	0.0082	0.2993
13.0000	2.7268	0.0057	0.2086
14.0000	2.7225	0.0073	0.2668
15.0000	2.7243	0.0069	0.2517
16.0000	2.7246	0.0090	0.3287
17.0000	2.7234	0.0113	0.4135
18.0000	2.7237	0.0108	0.3955
19.0000	2.7268	0.0075	0.2746
20.0000	2.7245	0.0083	0.3061
21.0000	2.7170	0.0097	0.3553
22.0000	2.7247	0.0050	0.1831
23.0000	2.7222	0.0084	0.3100
24.0000	2.7245	0.0101	0.3715
25.0000	2.7241	0.0097	0.3579
26.0000	2.7195	0.0068	0.2489
27.0000	2.7220	0.0086	0.3171
28.0000	2.7257	0.0078	0.2859
29.0000	2.7209	0.0093	0.3414
30.0000	2.7237	0.0093	0.3402
31.0000	2.7222	0.0107	0.3931
32.0000	2.7247	0.0074	0.2715
33.0000	2.7208	0.0103	0.3772
34.0000	2.7223	0.0088	0.3225
35.0000	2.7252	0.0068	0.2499
36.0000	2.7269	0.0028	0.1040
37.0000	2.7206	0.0051	0.1884
38.0000	2.7235	0.0090	0.3305
39.0000	2.7189	0.0110	0.4029
40.0000	2.7251	0.0094	0.3466
41.0000	2.7239	0.0054	0.1971
42.0000	2.7221	0.0103	0.3780
43.0000	2.7243	0.0071	0.2621
44.0000	2.7204	0.0095	0.3492
45.0000	2.7209	0.0119	0.4361
46.0000	2.7257	0.0094	0.3443
47.0000	2.7210	0.0078	0.2866
48.0000	2.7231	0.0106	0.3908
49.0000	2.7240	0.0068	0.2498
50.0000	2.7221	0.0107	0.3919
51.0000	2.7264	0.0070	0.2551
52.0000	2.7230	0.0066	0.2419
53.0000	2.7202	0.0097	0.3557
54.0000	2.7225	0.0062	0.2282
55.0000	2.7254	0.0070	0.2579
56.0000	2.7262	0.0097	0.3542
57.0000	2.7222	0.0109	0.3991
58.0000	2.7228	0.0103	0.3789
59.0000	2.7196	0.0062	0.2290
60.0000	2.7223	0.0084	0.3104
61.0000	2.7249	0.0067	0.2477
62.0000	2.7241	0.0095	0.3486
63.0000	2.7211	0.0095	0.3474
64.0000	2.7259	0.0074	0.2722
65.0000	2.7233	0.0107	0.3936
66.0000	2.7258	0.0049	0.1781
67.0000	2.7223	0.0065	0.2381
68.0000	2.7234	0.0060	0.2186
69.0000	2.7205	0.0119	0.4370
70.0000	2.7242	0.0082	0.3024
71.0000	2.7259	0.0074	0.2714
72.0000	2.7220	0.0104	0.3817
73.0000	2.7239	0.0049	0.1799
74.0000	2.7230	0.0087	0.3208
75.0000	2.7228	0.0080	0.2956
76.0000	2.7218	0.0101	0.3717
77.0000	2.7248	0.0122	0.4494
78.0000	2.7247	0.0089	0.3269
79.0000	2.7238	0.0087	0.3189
80.0000	2.7227	0.0093	0.3410
81.0000	2.7234	0.0093	0.3399
82.0000	2.7240	0.0092	0.3361
83.0000	2.7240	0.0056	0.2056
84.0000	2.7209	0.0088	0.3233
85.0000	2.7200	0.0094	0.3468
86.0000	2.7241	0.0050	0.1849
87.0000	2.7228	0.0073	0.2674
88.0000	2.7213	0.0083	0.3050
89.0000	2.7215	0.0079	0.2892
90.0000	2.7233	0.0091	0.3343
91.0000	2.7216	0.0072	0.2654
92.0000	2.7235	0.0104	0.3813
93.0000	2.7206	0.0097	0.3572
94.0000	2.7198	0.0084	0.3079
95.0000	2.7212	0.0085	0.3130
96.0000	2.7216	0.0111	0.4094
97.0000	2.7276	0.0062	0.2289
98.0000	2.7216	0.0063	0.2306
99.0000	2.7188	0.0106	0.3882
