Time - Plot 0	Amplitude - Plot 0
0	0.00239521
1	0.00436579
2	0.00503596
3	0.00638704
4	0.00275624
5	0.0049121
6	0.00378857
7	0.00327574
8	0.00489701
9	0.0062842
10	0.00356983
11	0.00475666
12	0.00368778
13	0.00425748
14	0.00421007
15	0.00534189
16	0.00524698
17	0.00333505
18	0.00485739
19	0.00411844
20	0.00304366
21	0.00502459
22	0.00413949
23	0.003728
24	0.00445974
25	0.0045526
26	0.00449735
27	0.00576129
28	0.00445123
29	0.0058041
30	0.00445758
31	0.00350859
32	0.00672375
33	0.00352445
34	0.00558377
35	0.00577525
36	0.00342283
37	0.00516507
38	0.0023283
39	0.00420642
40	0.00415982
41	0.00515548
42	0.00557562
43	0.00417601
44	0.00468113
45	0.00619492
46	0.00267075
47	0.00448626
48	0.00382217
49	0.00294515
50	0.00354431
51	0.00417944
52	0.0045128
53	0.00579706
54	0.0042365
55	0.00610261
56	0.00533226
57	0.00582539
58	0.00377237
59	0.00620037
60	0.00515337
61	0.00276749
62	0.00282293
63	0.00358475
64	0.00463048
65	0.00560373
66	0.0031156
67	0.00405157
68	0.0036744
69	0.00302459
70	0.0047505
71	0.00412234
72	0.0040714
73	0.0037357
74	0.00300126
75	0.00492135
76	0.00377025
77	0.00496684
78	0.00296165
79	0.00371952
80	0.00591442
81	0.00262927
82	0.00465607
83	0.00474576
84	0.00325249
85	0.00604626
86	0.00454212
87	0.00553525
88	0.00338814
89	0.00347397
90	0.00425777
91	0.00417811
92	0.00346181
93	0.0055799
94	0.00530727
95	0.00476932
96	0.00433099
97	0.00665218
98	0.00435993
99	0.00496434
100	0.00477541
101	0.00211179
102	0.00356252
103	0.00387999
104	0.00535518
105	0.00673568
106	0.0045285
107	0.00310772
108	0.00401126
109	0.00270737
110	0.00321877
111	0.00637491
112	0.00323998
113	0.00347033
114	0.00317289
115	0.00508691
116	0.00409554
117	0.00503027
118	0.00486386
119	0.00684885
120	0.00480678
121	0.00323798
122	0.00331756
123	0.00382591
124	0.00410576
125	0.00555777
126	0.00518898
127	0.00433625
128	0.00427454
129	0.00359575
130	0.00283153
131	0.00644609
132	0.0024831
133	0.00364212
134	0.00523481
135	0.00564463
136	0.00554886
137	0.00566575
138	0.00432907
139	0.00370118
140	0.0070901
141	0.00288845
142	0.00328145
143	0.00613643
144	0.00355546
145	0.00357302
146	0.00458985
147	0.0045069
148	0.00650985
149	0.00385499
150	0.00425715
151	0.00375955
152	0.0051835
153	0.00411711
154	0.00536628
155	0.00463311
156	0.00575247
157	0.00543435
158	0.00345148
159	0.00401992
160	0.00784874
161	0.00476677
162	0.00595521
163	0.00417575
164	0.00358615
165	0.00363537
166	0.00254735
167	0.00577699
168	0.00436106
169	0.00465974
170	0.0044075
171	0.00460362
172	0.00414833
173	0.00432631
174	0.0046961
175	0.0038444
176	0.0043384
177	0.00620799
178	0.00246805
179	0.00377328
180	0.00649839
181	0.00483549
182	0.00431489
183	0.00463693
184	0.00265532
185	0.0050509
186	0.00625833
187	0.00685446
188	0.00396904
189	0.00278553
190	0.00412374
191	0.00437838
192	0.00489355
193	0.0044144
194	0.00380314
195	0.00429474
196	0.00308904
197	0.00467237
198	0.00590689
199	0.00374496
200	0.00386573
201	0.00300185
202	0.00414085
203	0.00162916
204	0.0033677
205	0.00397123
206	0.00619386
207	0.00409671
208	0.00486851
209	0.00409877
210	0.00387163
211	0.00333397
212	0.0023839
213	0.00694629
214	0.00333077
215	0.00419897
216	0.00325405
217	0.00280854
218	0.00528222
219	0.00277378
220	0.00487735
221	0.00276474
222	0.00435498
223	0.00531566
224	0.00613152
225	0.00445021
226	0.00342666
227	0.00572665
228	0.00405715
229	0.00382258
230	0.00508967
231	0.00297643
232	0.00294686
233	0.00276887
234	0.00249777
235	0.00410109
236	0.0044094
237	0.00506901
238	0.00246381
239	0.00406452
240	0.0053733
241	0.005371
242	0.00305537
243	0.00571829
244	0.00502292
245	0.00380903
246	0.00451785
247	0.00320537
248	0.00300506
249	0.0036677
250	0.00396727
251	0.00470989
252	0.00420823
253	0.00474756
254	0.00460016
255	0.00302481
256	0.00311827
257	0.00354231
258	0.00520468
259	0.00304101
260	0.00364529
261	0.00545453
262	0.00326893
263	0.00390022
264	0.00493062
265	0.00588033
266	0.00338898
267	0.00377807
268	0.00527673
269	0.00292462
270	0.00396053
271	0.00320948
272	0.00380371
273	0.00181502
274	0.00472947
275	0.00249539
276	0.00347284
277	0.00322534
278	0.00382803
279	0.00380683
280	0.00340562
281	0.0037774
282	0.00398468
283	0.00302932
284	0.00591062
285	0.00212791
286	0.00352163
287	0.00385775
288	0.00409037
289	0.00444142
290	0.00370234
291	0.00417708
292	0.00400897
293	0.00316171
294	0.00514066
295	0.00416521
296	0.00247692
297	0.00483199
298	0.0035904
299	0.00441373
300	0.00357824
301	0.00311363
302	0.00411213
303	0.00331005
304	0.00336797
305	0.00509664
306	0.00442108
307	0.00414446
308	0.00456854
309	0.0057127
310	0.00507737
311	0.0046124
312	0.00356435
313	0.00399661
314	0.00505141
315	0.00635179
316	0.00260548
317	0.00403037
318	0.00286564
319	0.00408366
320	0.00520059
321	0.00559143
322	0.00365814
323	0.00365694
324	0.0046577
325	0.00570087
326	0.00246975
327	0.00398768
328	0.005345
329	0.00578669
330	0.00296903
331	0.00511261
332	0.00303988
333	0.00429197
334	0.00392843
335	0.00409394
336	0.00263179
337	0.00655012
338	0.00475487
339	0.00413859
340	0.00464316
341	0.00463088
342	0.0044912
343	0.00668552
344	0.00594828
345	0.00453823
346	0.00481915
347	0.00609384
348	0.00539799
349	0.00396762
350	0.00495564
351	0.00399391
352	0.00191554
353	0.00504263
354	0.0056722
355	0.00255576
356	0.0043296
357	0.00242336
358	0.00198314
359	0.00362789
360	0.00656707
361	0.00445671
362	0.0042122
363	0.00440288
364	0.00470583
365	0.00604661
366	0.00541447
367	0.00553694
368	0.00345443
369	0.00395611
370	0.00156123
371	0.00501892
372	0.00425256
373	0.00459415
374	0.00351128
375	0.00310516
376	0.00458268
377	0.00519921
378	0.00512188
379	0.00283862
380	0.00498992
381	0.00235183
382	0.00503683
383	0.00377621
384	0.00437556
385	0.00590966
386	0.00450638
387	0.00466699
388	0.00512685
389	0.00417935
390	0.00457143
391	0.00480003
392	0.00476187
393	0.00432747
394	0.00538919
395	0.00305845
396	0.00376782
397	0.00563008
398	0.00721651
399	0.00403165
400	0.00287955
401	0.00421238
402	0.00574273
403	0.00595962
404	0.00295028
405	0.006775
406	0.00445798
407	0.00489963
408	0.00511836
409	0.00289046
410	0.00416947
411	0.00445719
412	0.00640708
413	0.00626173
414	0.00442386
415	0.00400762
416	0.0043079
417	0.00331103
418	0.00442363
419	0.00439946
420	0.00517073
421	0.00450403
422	0.00519449
423	0.00386294
424	0.00365238
425	0.00430877
426	0.00460634
427	0.00264174
428	0.00518297
429	0.00333722
430	0.00458747
431	0.002668
432	0.00394285
433	0.00401702
434	0.00442304
435	0.00446104
436	0.00452274
437	0.00414352
438	0.00328646
439	0.00592853
440	0.00471237
441	0.00271035
442	0.00411107
443	0.00524554
444	0.00459576
445	0.00408412
446	0.00524461
447	0.00438973
448	0.00295885
449	0.00547441
450	0.00338815
451	0.00352689
452	0.00357465
453	0.00360152
454	0.00369273
455	0.00325112
456	0.0032063
457	0.00461624
458	0.00427281
459	0.00492983
460	0.00334614
461	0.00459231
462	0.004474
463	0.00364565
464	0.0042683
465	0.00601145
466	0.00416198
467	0.00409108
468	0.00372478
469	0.00575747
470	0.003455
471	0.00413174
472	0.00385366
473	0.00493766
474	0.00296522
475	0.00506233
476	0.00168626
477	0.00438931
478	0.00464993
479	0.00354154
480	0.0046125
481	0.00357844
482	0.0024597
483	0.0035713
484	0.00493676
485	0.00443029
486	0.00349519
487	0.00493089
488	0.00482733
489	0.00537197
490	0.00298659
491	0.00590367
492	0.00279778
493	0.00377556
494	0.00312376
495	0.00544929
496	0.00176958
497	0.0038589
498	0.00299925
499	0.00449311
500	0.00532897
501	0.00484979
502	0.0041657
503	0.00432132
504	0.00332326
505	0.00293553
506	0.00341452
507	0.00523768
508	0.0043722
509	0.00354362
510	0.00711844
511	0.00324421
512	0.00411414
513	0.00423903
514	0.00446252
515	0.0064575
516	0.00441047
517	0.003568
518	0.00412788
519	0.00442215
520	0.00572459
521	0.00652997
522	0.00481725
523	0.00360723
524	0.00205075
525	0.00592555
526	0.00393739
527	0.00434487
528	0.00478335
529	0.0063541
530	0.00485054
531	0.00367195
532	0.00304908
533	0.00436982
534	0.00617786
535	0.00643259
536	0.00165304
537	0.00595505
538	0.00591223
539	0.00542995
540	0.00485649
541	0.00247796
542	0.00408854
543	0.00503569
544	0.0047869
545	0.00226159
546	0.00344653
547	0.00165986
